;JAN;JAN;FEB;FEB;MAR;MAR;APR;APR;MAY;MAY;JUN;JUN;JUL;JUL;AUG;AUG;SEP;SEP;OCT;OCT;NOV;NOV;DEC;DEC
;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00;08h00;14h00
1967;;;;;;;;;;;;;;;;;;;;;;;;
1968;;;;;;;;;;;;;;;;;;;;;;;;
1969;;;;;;;;;;;;;;;;;;;;;;;;
1970;81.72;62.67;80.9;65.8;86.4;62.28;85.04;58.36;88.92;63.07;89.76;62.71;91.32;64.16;88.14;60.48;80.21;56.58;80.1;61.07;78.8;62.4;77.65;60.35
1971;85.06;69.58;86.67;69.2;89.14;66.97;89.83;68.92;91.29;79.56;90.73;66.14;90.23;62.19;88.25;61.14;84.95;59.01;84.9;63.1;82.47;69.37;84.12;69.63
1972;85.43;71.03;88.79;77.39;88.45;73.99;92.63;70.49;91;74.27;91.23;76.15;92.72;69.07;89.47;64.98;85.11;61.92;82;61.15;81.51;63.35;78.36;60.11
1973;87.02;65.97;83.73;65.32;88.91;69.47;89.31;72.18;90.04;70.48;91.16;70.71;91.18;65.71;90.19;62.46;84.57;64.13;84.71;68.58;84.24;71.49;84.97;71.87
1974;86.16;67.18;91.31;72.82;91.42;75.45;90.9;72.63;89.46;63.89;90.59;64.86;87.4;69.13;87.58;58.98;86.52;63.93;81.06;61.36;85.05;72.44;83.04;69.73
1975;81.65;67.13;99.08;85.25;86.67;70.19;92.68;73.05;88.09;71.41;90.93;68.71;90.76;63.11;90.89;72.92;88.54;79.07;78.86;63.88;79.48;59.58;82.95;66.57
1976;83.52;69.94;84.19;72.91;88.04;72;91.01;72.52;89.57;73.23;90.46;61.66;89.58;65.7;89.62;69.32;86.35;67.49;83.51;64.08;85.15;67.44;81.23;60.46
1977;85.87;59.93;90.79;81.78;90.43;77.72;92.06;80.69;90.4;70.3;83.42;79.51;90.49;72.79;88;68.13;90.68;75.38;89.96;65.9;90.29;65.12;85.41;73.82
1978;87.25;69.29;88.44;76.97;89.77;77.72;88.52;71.91;91.99;66.2;91.83;67.33;93.16;66.13;;;;;;;;;;
1979;;;;;;;;;;;;;;;;;;;;;;;;
1980;86.14;63.22;85.91;61.3;88.7;67.08;86.68;65.07;86.62;57.68;88.56;70.61;88.19;73.51;88.32;73.7;87.14;79.68;87.38;64.81;86;67.77;85.78;66.64
1981;89.87;69.11;88.36;73.97;87.83;67.26;92.09;69.66;93.46;72.2;92.76;69.87;93.59;61.97;91.48;68.88;91.31;71.38;85.32;70.24;89.67;69.24;87.51;65.62
1982;87.45;66.62;91.62;77.99;91.23;67.9;90.05;71.92;87.47;68;92.4;69.64;90.68;66.33;88;61.6;86.63;62.03;84.83;64.44;84.31;69.59;84.15;57.03
1983;76.16;25.27;88.53;75.64;89.38;76.74;68.77;73.15;92.13;78.91;93.87;90.48;93.92;85.08;93.02;69.91;92.85;72.65;92.07;87.62;86.82;75.09;91.86;74.34
1984;95.44;81.81;93.26;89.33;91.48;85.97;91.96;73.36;92.06;73.6;93.85;72.85;92.88;71.88;89.74;67.59;88.68;71.56;84.16;66.86;84.66;69.54;89.21;78.91
1985;86.35;79.4;90.39;80.82;90.39;80.92;85.76;85.29;90.63;79.09;92.21;76.14;92.46;83.35;9.72;76.09;92.81;80.79;88.9;70.45;89.37;74.48;93.39;81.69
1986;91.58;82.7;94.3;81.65;91.29;79.47;88.53;80.77;92.76;81.76;90.15;85.44;91.77;71.28;92.56;60.78;84.82;66.16;83.38;64.62;34.51;19.94;83.38;61.79
1987;81.73;64.83;85.35;36.68;87.27;69.86;89.04;68.93;88.72;68.59;91.89;66.38;23.49;12.7;91.1;76.61;83.38;64.62;93.05;80.6;90.7;67.96;85.35;69.09
1988;81.58;59.13;84.3;62.02;89.66;69.72;88.78;65.62;93.05;67.9;87.35;61.79;92.84;67.35;92.06;62.76;86.51;61.44;87.5;68.11;79.13;63.01;82.48;66.52
1989;81.93;63.25;98.78;71.31;87.9;65.72;87.73;64.05;91.41;61.05;90.85;66.95;90.35;66.77;86.73;62.18;84.9;58.02;85.39;62.78;83.76;69.28;85.66;67.6
1990;87.2;69.9;90.23;78.14;90.02;70.08;93.34;72.48;92.56;68.73;91.16;65.22;92.31;63.52;90.14;62.15;84.44;59.9;84.48;61.79;80.04;61.57;81.53;66.29
1991;85.44;65.35;81.21;70.28;89.82;69.91;91.19;65.51;93.03;61.02;93.13;68.22;91.32;63.96;92.06;69.36;85.09;69.44;85.34;71.79;90.45;85.8;90.17;87.82
1992;92.25;88.89;89.87;84.37;91.58;84.4;85.11;58.09;89.7;55.48;91.55;62.64;92.14;70.12;92.79;66.7;90.75;66.17;92.94;74.68;93.09;72.46;89.35;72.95
1993;82.51;61.27;90.96;74.96;90.19;68.92;91.39;63.83;91.58;66.55;91.84;62.21;93.75;69.85;91.89;62.81;92.43;68.35;93.9;82.7;88.76;88.17;87.01;72.02
