gid,Time,CHIRPS precipitation
1,Aug 2009,10.55273
2,Aug 2009,13.03579
3,Aug 2009,14.95255
4,Aug 2009,11.47535
5,Aug 2009,10.77524
1,Sep 2009,16.013
2,Sep 2009,15.17272
3,Sep 2009,16.77001
4,Sep 2009,16.91041
5,Sep 2009,18.35131
1,Oct 2009,15.73899
2,Oct 2009,15.32562
3,Oct 2009,16.5331
4,Oct 2009,17.44235
5,Oct 2009,17.81301
1,Nov 2009,92.17085
2,Nov 2009,82.90844
3,Nov 2009,84.68049
4,Nov 2009,92.92307
5,Nov 2009,101.473
1,Dec 2009,55.08651
2,Dec 2009,46.62136
3,Dec 2009,52.45472
4,Dec 2009,53.41673
5,Dec 2009,57.97881
1,Jan 2010,124.3201
2,Jan 2010,119.1087
3,Jan 2010,108.0367
4,Jan 2010,100.5556
5,Jan 2010,115.842
1,Feb 2010,48.7739
2,Feb 2010,61.3642
3,Feb 2010,58.03311
4,Feb 2010,49.75304
5,Feb 2010,40.35425
1,Mar 2010,44.93459
2,Mar 2010,44.40073
3,Mar 2010,56.20248
4,Mar 2010,61.04196
5,Mar 2010,49.41974
1,Apr 2010,89.93806
2,Apr 2010,102.9994
3,Apr 2010,107.3328
4,Apr 2010,93.07455
5,Apr 2010,79.99494
1,May 2010,12.73372
2,May 2010,16.7943
3,May 2010,16.84674
4,May 2010,13.17408
5,May 2010,10.43075
1,Jun 2010,10.62539
2,Jun 2010,13.59371
3,Jun 2010,16.22109
4,Jun 2010,15.74627
5,Jun 2010,11.66191
1,Jul 2010,10.18701
2,Jul 2010,14.27265
3,Jul 2010,14.10566
4,Jul 2010,15.2625
5,Jul 2010,15.97089
1,Aug 2010,7.547262
2,Aug 2010,9.292773
3,Aug 2010,10.07718
4,Aug 2010,7.458029
5,Aug 2010,6.872409
1,Sep 2010,12.22011
2,Sep 2010,11.24132
3,Sep 2010,10.02579
4,Sep 2010,9.115992
5,Sep 2010,10.66509
1,Oct 2010,27.75246
2,Oct 2010,23.37623
3,Oct 2010,28.1304
4,Oct 2010,28.41154
5,Oct 2010,30.04246
1,Nov 2010,96.86021
2,Nov 2010,89.33036
3,Nov 2010,88.18247
4,Nov 2010,80.94604
5,Nov 2010,84.49165
1,Dec 2010,139.016
2,Dec 2010,129.6245
3,Dec 2010,127.9903
4,Dec 2010,145.0588
5,Dec 2010,157.7545
1,Jan 2011,137.1253
2,Jan 2011,155.3446
3,Jan 2011,165.6189
4,Jan 2011,159.4396
5,Jan 2011,129.9689
1,Feb 2011,48.30118
2,Feb 2011,55.59299
3,Feb 2011,53.92949
4,Feb 2011,49.58273
5,Feb 2011,45.67303
1,Mar 2011,46.90448
2,Mar 2011,47.14545
3,Mar 2011,52.79089
4,Mar 2011,53.58272
5,Mar 2011,56.57233
1,Apr 2011,42.99327
2,Apr 2011,41.41345
3,Apr 2011,42.6852
4,Apr 2011,36.28541
5,Apr 2011,38.91273
1,May 2011,19.22753
2,May 2011,22.39194
3,May 2011,23.35044
4,May 2011,19.27652
5,May 2011,17.91008
1,Jun 2011,9.911244
2,Jun 2011,13.83453
3,Jun 2011,16.13619
4,Jun 2011,16.054
5,Jun 2011,10.60244
1,Jul 2011,9.513299
2,Jul 2011,13.5682
3,Jul 2011,13.84382
4,Jul 2011,15.52992
5,Jul 2011,15.958
1,Aug 2011,11.26368
2,Aug 2011,12.33226
3,Aug 2011,13.08671
4,Aug 2011,10.06988
5,Aug 2011,9.8901
1,Sep 2011,19.55042
2,Sep 2011,20.03669
3,Sep 2011,21.02199
4,Sep 2011,19.9055
5,Sep 2011,22.43196
1,Oct 2011,66.51615
2,Oct 2011,59.56533
3,Oct 2011,50.79638
4,Oct 2011,44.39013
5,Oct 2011,52.68959
1,Nov 2011,58.07013
2,Nov 2011,58.80136
3,Nov 2011,48.93611
4,Nov 2011,44.35242
5,Nov 2011,45.6009
1,Dec 2011,50.96189
2,Dec 2011,45.95379
3,Dec 2011,60.37823
4,Dec 2011,75.10385
5,Dec 2011,74.73296
1,Jan 2012,87.34068
2,Jan 2012,77.91563
3,Jan 2012,77.82671
4,Jan 2012,76.15443
5,Jan 2012,92.60613
1,Feb 2012,63.9482
2,Feb 2012,71.97813
3,Feb 2012,72.00037
4,Feb 2012,72.81207
5,Feb 2012,72.59381
1,Mar 2012,84.11988
2,Mar 2012,87.93457
3,Mar 2012,89.43717
4,Mar 2012,86.81841
5,Mar 2012,85.42988
1,Apr 2012,15.51822
2,Apr 2012,17.40056
3,Apr 2012,20.33539
4,Apr 2012,18.16198
5,Apr 2012,16.79241
1,May 2012,7.774265
2,May 2012,8.887423
3,May 2012,9.038178
4,May 2012,6.869129
5,May 2012,6.61406
1,Jun 2012,8.89635
2,Jun 2012,12.29499
3,Jun 2012,14.18113
4,Jun 2012,13.26109
5,Jun 2012,9.479367
1,Jul 2012,7.241082
2,Jul 2012,11.32673
3,Jul 2012,10.96641
4,Jul 2012,11.38533
5,Jul 2012,11.32262
1,Aug 2012,8.757363
2,Aug 2012,9.397054
3,Aug 2012,12.09496
4,Aug 2012,8.792946
5,Aug 2012,7.532918
1,Sep 2012,43.82199
2,Sep 2012,42.52623
3,Sep 2012,62.60012
4,Sep 2012,69.45352
5,Sep 2012,65.07893
1,Oct 2012,81.50786
2,Oct 2012,77.81
3,Oct 2012,86.80032
4,Oct 2012,93.21471
5,Oct 2012,91.74335
1,Nov 2012,76.25677
2,Nov 2012,72.47609
3,Nov 2012,69.33073
4,Nov 2012,66.4395
5,Nov 2012,71.67908
1,Dec 2012,110.7148
2,Dec 2012,99.70061
3,Dec 2012,105.9002
4,Dec 2012,107.4753
5,Dec 2012,123.6595
1,Jan 2013,311.2588
2,Jan 2013,352.9259
3,Jan 2013,350.8961
4,Jan 2013,273.8935
5,Jan 2013,270.8149
1,Feb 2013,46.56709
2,Feb 2013,38.49658
3,Feb 2013,44.39323
4,Feb 2013,47.38966
5,Feb 2013,47.51661
1,Mar 2013,68.57735
2,Mar 2013,62.72036
3,Mar 2013,58.28785
4,Mar 2013,52.98605
5,Mar 2013,57.40487
1,Apr 2013,43.04024
2,Apr 2013,45.50874
3,Apr 2013,48.96992
4,Apr 2013,41.70204
5,Apr 2013,41.32147
1,May 2013,12.53885
2,May 2013,16.3827
3,May 2013,18.78555
4,May 2013,13.8445
5,May 2013,11.72283
1,Jun 2013,11.09737
2,Jun 2013,14.61832
3,Jun 2013,15.55557
4,Jun 2013,14.43908
5,Jun 2013,11.27032
1,Jul 2013,12.1469
2,Jul 2013,18.39621
3,Jul 2013,14.33513
4,Jul 2013,10.54826
5,Jul 2013,12.72372
1,Aug 2013,13.29634
2,Aug 2013,13.99838
3,Aug 2013,14.05908
4,Aug 2013,10.12505
5,Aug 2013,10.36712
1,Sep 2013,20.27249
2,Sep 2013,20.14022
3,Sep 2013,20.61807
4,Sep 2013,19.71384
5,Sep 2013,20.50725
1,Oct 2013,52.03151
2,Oct 2013,57.24638
3,Oct 2013,56.23395
4,Oct 2013,57.1435
5,Oct 2013,60.41259
1,Nov 2013,76.58961
2,Nov 2013,65.40917
3,Nov 2013,58.06584
4,Nov 2013,58.4811
5,Nov 2013,68.58002
1,Dec 2013,139.0641
2,Dec 2013,123.9114
3,Dec 2013,95.53606
4,Dec 2013,88.70129
5,Dec 2013,105.2425
1,Jan 2014,102.9218
2,Jan 2014,116.5247
3,Jan 2014,105.0773
4,Jan 2014,91.88877
5,Jan 2014,81.35734
1,Feb 2014,59.43853
2,Feb 2014,60.41745
3,Feb 2014,52.10241
4,Feb 2014,44.49356
5,Feb 2014,46.53796
1,Mar 2014,209.2971
2,Mar 2014,229.7855
3,Mar 2014,184.7904
4,Mar 2014,152.4839
5,Mar 2014,157.8354
1,Apr 2014,37.62484
2,Apr 2014,32.84754
3,Apr 2014,31.92746
4,Apr 2014,28.6158
5,Apr 2014,34.71316
1,May 2014,8.685021
2,May 2014,8.99497
3,May 2014,9.076221
4,May 2014,6.741558
5,May 2014,6.272442
1,Jun 2014,8.960835
2,Jun 2014,11.78112
3,Jun 2014,14.12709
4,Jun 2014,13.38276
5,Jun 2014,9.52432
1,Jul 2014,8.65574
2,Jul 2014,16.33064
3,Jul 2014,13.95347
4,Jul 2014,9.346371
5,Jul 2014,9.598277
1,Aug 2014,9.731343
2,Aug 2014,12.9097
3,Aug 2014,15.38611
4,Aug 2014,12.07623
5,Aug 2014,11.29638
1,Sep 2014,10.53683
2,Sep 2014,11.03899
3,Sep 2014,11.32473
4,Sep 2014,10.37029
5,Sep 2014,10.55937
1,Oct 2014,36.13866
2,Oct 2014,35.87528
3,Oct 2014,39.38438
4,Oct 2014,39.04457
5,Oct 2014,39.20081
1,Nov 2014,60.74118
2,Nov 2014,52.70241
3,Nov 2014,54.73557
4,Nov 2014,57.07087
5,Nov 2014,64.50155
1,Dec 2014,158.2448
2,Dec 2014,147.3133
3,Dec 2014,154.3307
4,Dec 2014,155.2485
5,Dec 2014,166.3632
1,Jan 2015,64.49205
2,Jan 2015,71.8767
3,Jan 2015,48.07254
4,Jan 2015,44.70304
5,Jan 2015,50.83258
1,Feb 2015,101.2544
2,Feb 2015,106.3991
3,Feb 2015,104.5571
4,Feb 2015,111.5427
5,Feb 2015,110.062
1,Mar 2015,64.33636
2,Mar 2015,65.03028
3,Mar 2015,64.39391
4,Mar 2015,65.53708
5,Mar 2015,73.97672
1,Apr 2015,28.16047
2,Apr 2015,31.54403
3,Apr 2015,35.88593
4,Apr 2015,29.42494
5,Apr 2015,29.75838
1,May 2015,10.4895
2,May 2015,11.51056
3,May 2015,11.34093
4,May 2015,8.2096
5,May 2015,7.924044
1,Jun 2015,8.761501
2,Jun 2015,11.83684
3,Jun 2015,14.54037
4,Jun 2015,14.2286
5,Jun 2015,9.916882
1,Jul 2015,11.1458
2,Jul 2015,20.09853
3,Jul 2015,16.92586
4,Jul 2015,11.66789
5,Jul 2015,12.46115
1,Aug 2015,8.42744
2,Aug 2015,10.70433
3,Aug 2015,13.23854
4,Aug 2015,10.40019
5,Aug 2015,9.339836
1,Sep 2015,35.16203
2,Sep 2015,31.5077
3,Sep 2015,31.36843
4,Sep 2015,29.00621
5,Sep 2015,32.44725
1,Oct 2015,13.62359
2,Oct 2015,14.47749
3,Oct 2015,16.04469
4,Oct 2015,16.43786
5,Oct 2015,16.85991
1,Nov 2015,60.7842
2,Nov 2015,60.4617
3,Nov 2015,54.86892
4,Nov 2015,55.64857
5,Nov 2015,59.21943
1,Dec 2015,43.86142
2,Dec 2015,35.82163
3,Dec 2015,33.43439
4,Dec 2015,36.26171
5,Dec 2015,42.98676
1,Jan 2016,59.47208
2,Jan 2016,62.64534
3,Jan 2016,51.92133
4,Jan 2016,44.42168
5,Jan 2016,52.19911
