Time,CHIRPS precipitation
Aug 1990,15.20007
Sep 1990,10.21085
Oct 1990,42.99152
Nov 1990,31.31468
Dec 1990,159.8001
Jan 1991,109.4432
Feb 1991,69.89911
Mar 1991,84.49434
Apr 1991,13.29729
May 1991,10.89488
Jun 1991,21.05482
Jul 1991,7.545326
Aug 1991,8.360401
Sep 1991,13.76379
Oct 1991,13.48694
Nov 1991,64.0562
Dec 1991,44.50646
Jan 1992,66.66732
Feb 1992,27.55103
Mar 1992,44.37083
Apr 1992,22.55446
May 1992,7.419107
Jun 1992,14.28398
Jul 1992,7.696759
Aug 1992,8.365116
Sep 1992,15.75805
Oct 1992,18.615
Nov 1992,84.11136
Dec 1992,206.3351
Jan 1993,48.90681
Feb 1993,133.0529
Mar 1993,104.806
Apr 1993,53.20714
May 1993,10.23951
Jun 1993,11.22938
Jul 1993,13.08774
Aug 1993,17.28698
Sep 1993,13.36702
Oct 1993,17.11732
Nov 1993,54.9383
Dec 1993,112.5492
Jan 1994,103.3561
Feb 1994,45.10441
Mar 1994,99.04491
Apr 1994,24.73784
May 1994,11.32639
Jun 1994,8.378726
Jul 1994,12.69486
Aug 1994,11.70271
Sep 1994,18.19221
Oct 1994,36.88593
Nov 1994,27.00187
Dec 1994,114.9079
Jan 1995,164.7261
Feb 1995,97.70577
Mar 1995,50.01394
Apr 1995,50.50885
May 1995,20.26449
Jun 1995,7.77782
Jul 1995,7.382216
Aug 1995,20.95918
Sep 1995,8.930692
Oct 1995,44.33047
Nov 1995,59.62132
Dec 1995,91.78682
Jan 1996,181.3399
Feb 1996,186.3022
Mar 1996,66.33105
Apr 1996,45.95267
May 1996,41.88212
Jun 1996,10.37186
Jul 1996,17.68909
Aug 1996,21.69539
Sep 1996,10.99796
Oct 1996,22.49103
Nov 1996,45.90541
Dec 1996,32.80615
Jan 1997,187.8474
Feb 1997,70.71266
Mar 1997,77.41751
Apr 1997,47.35021
May 1997,14.40985
Jun 1997,10.33031
Jul 1997,15.04196
Aug 1997,11.7694
Sep 1997,33.91071
Oct 1997,37.90258
Nov 1997,93.30635
Dec 1997,82.8732
Jan 1998,210.9053
Feb 1998,52.52939
Mar 1998,39.16508
