Type;date;discharge
1;30 Nov 52, 24:00; 
2;31 Dec 52, 24:00;171,854
3;31 Jan 53, 24:00;240,662
4;28 Feb 53, 24:00;209,215
5;31 Mar 53, 24:00;195,394
6;30 Apr 53, 24:00;173,145
7;31 May 53, 24:00;90,149
8;30 Jun 53, 24:00;56,082
9;31 Jul 53, 24:00;45,852
10;31 Aug 53, 24:00;36,604
11;30 Sep 53, 24:00;31,52
12;31 Oct 53, 24:00;23,887
13;30 Nov 53, 24:00;102,647
14;31 Dec 53, 24:00;166,726
15;31 Jan 54, 24:00;179,809
16;28 Feb 54, 24:00;218,766
17;31 Mar 54, 24:00;187,676
18;30 Apr 54, 24:00;116,281
19;31 May 54, 24:00;92,916
20;30 Jun 54, 24:00;60,171
21;31 Jul 54, 24:00;47,928
22;31 Aug 54, 24:00;42,214
23;30 Sep 54, 24:00;50,964
24;31 Oct 54, 24:00; 
25;30 Nov 54, 24:00; 
26;31 Dec 54, 24:00; 
27;31 Jan 55, 24:00; 
28;28 Feb 55, 24:00;1.060,15
29;31 Mar 55, 24:00;638,288
30;30 Apr 55, 24:00;280,297
31;31 May 55, 24:00;226,284
32;30 Jun 55, 24:00;156,891
33;31 Jul 55, 24:00;121,716
34;31 Aug 55, 24:00;101,97
35;30 Sep 55, 24:00;85,061
36;31 Oct 55, 24:00;112,183
37;30 Nov 55, 24:00;183,78
38;31 Dec 55, 24:00;319,001
39;31 Jan 56, 24:00;395,743
40;29 Feb 56, 24:00;543,376
41;31 Mar 56, 24:00;511,386
42;30 Apr 56, 24:00;280,078
43;31 May 56, 24:00;175,661
44;30 Jun 56, 24:00;138,073
45;31 Jul 56, 24:00;100,742
46;31 Aug 56, 24:00;74,436
47;30 Sep 56, 24:00;86,566
48;31 Oct 56, 24:00;109,428
49;30 Nov 56, 24:00;128,802
50;31 Dec 56, 24:00;109,983
51;31 Jan 57, 24:00;107,258
52;28 Feb 57, 24:00;109,735
53;31 Mar 57, 24:00;316,83
54;30 Apr 57, 24:00;175,473
55;31 May 57, 24:00;83,361
56;30 Jun 57, 24:00;50,644
57;31 Jul 57, 24:00;77,111
58;31 Aug 57, 24:00;35,259
59;30 Sep 57, 24:00;54,369
60;31 Oct 57, 24:00;104,77
61;30 Nov 57, 24:00;84,364
62;31 Dec 57, 24:00;100,252
63;31 Jan 58, 24:00;664,003
64;28 Feb 58, 24:00;461,537
