Type;date;mm_rain
1;31 May 70, 24:00;19
2;30 Jun 70, 24:00;41.5
3;31 Jul 70, 24:00; 
4;31 Aug 70, 24:00; 
5;30 Sep 70, 24:00; 
6;31 Oct 70, 24:00; 
7;30 Nov 70, 24:00; 
8;31 Dec 70, 24:00; 
9;31 Jan 71, 24:00; 
10;28 Feb 71, 24:00; 
11;31 Mar 71, 24:00; 
12;30 Apr 71, 24:00; 
13;31 May 71, 24:00; 
14;30 Jun 71, 24:00; 
15;31 Jul 71, 24:00; 
16;31 Aug 71, 24:00; 
17;30 Sep 71, 24:00; 
18;31 Oct 71, 24:00; 
19;30 Nov 71, 24:00; 
20;31 Dec 71, 24:00; 
21;31 Jan 72, 24:00; 
22;29 Feb 72, 24:00; 
23;31 Mar 72, 24:00; 
24;30 Apr 72, 24:00; 
25;31 May 72, 24:00; 
26;30 Jun 72, 24:00; 
27;31 Jul 72, 24:00; 
28;31 Aug 72, 24:00; 
29;30 Sep 72, 24:00; 
30;31 Oct 72, 24:00; 
31;30 Nov 72, 24:00; 
32;31 Dec 72, 24:00; 
33;31 Jan 73, 24:00; 
34;28 Feb 73, 24:00; 
35;31 Mar 73, 24:00; 
36;30 Apr 73, 24:00; 
37;31 May 73, 24:00; 
38;30 Jun 73, 24:00; 
39;31 Jul 73, 24:00; 
40;31 Aug 73, 24:00; 
41;30 Sep 73, 24:00; 
42;31 Oct 73, 24:00; 
43;30 Nov 73, 24:00;24.6
44;31 Dec 73, 24:00;72.8
45;31 Jan 74, 24:00;35
46;28 Feb 74, 24:00;86
47;31 Mar 74, 24:00;25
48;30 Apr 74, 24:00;21
49;31 May 74, 24:00;5.4
50;30 Jun 74, 24:00;0
51;31 Jul 74, 24:00;10
52;31 Aug 74, 24:00; 
53;30 Sep 74, 24:00;15.5
54;31 Oct 74, 24:00;21
55;30 Nov 74, 24:00;33.6
56;31 Dec 74, 24:00;22.5
57;31 Jan 75, 24:00;30
58;28 Feb 75, 24:00;35
59;31 Mar 75, 24:00;30
60;30 Apr 75, 24:00;13.5
61;31 May 75, 24:00;18
62;30 Jun 75, 24:00;0
63;31 Jul 75, 24:00;0
64;31 Aug 75, 24:00; 
65;30 Sep 75, 24:00; 
66;31 Oct 75, 24:00;3
67;30 Nov 75, 24:00;33.5
68;31 Dec 75, 24:00;49
69;31 Jan 76, 24:00;112
70;29 Feb 76, 24:00;27
71;31 Mar 76, 24:00;68
72;30 Apr 76, 24:00;56
73;31 May 76, 24:00; 
74;30 Jun 76, 24:00; 
