Type;date;mm_rain
1;30-sep-64; 
2;31-oct-64;76
3;30-nov-64;26.3
4;31 Dec 64;163.9
5;31 Jan 65;25.7
6;28-feb-65;36.2
7;31-mar-65;33.78
8;30 Apr 65;31.12
9;31-may-65;4
10;30-jun-65;2.6
11;31-jul-65;0
12;31 Aug 65;6.85
13;30-sep-65;33.15
14;31-oct-65;27.8
15;30-nov-65;45.3
16;31 Dec 65;10
17;31 Jan 66;169.59
18;28-feb-66;65.31
19;31-mar-66;32.12
20;30 Apr 66;5.58
21;31-may-66;4.4
22;30-jun-66;7.4
23;31-jul-66;0
24;31 Aug 66;22.5
25;30-sep-66;8.04
26;31-oct-66;85.76
27;30-nov-66;20.47
28;31 Dec 66;226.31
29;31 Jan 67;101.32
30;28-feb-67;425.7
31;31-mar-67;72.3
32;30 Apr 67;50.26
33;31-may-67;5.35
34;30-jun-67;22.79
35;31-jul-67;22.9
36;31 Aug 67;0
37;30-sep-67;0
38;31-oct-67;28.2
39;30-nov-67;52.4
40;31 Dec 67;20.6
41;31 Jan 68;31.1
42;29-feb-68;133.9
43;31-mar-68;12.8
44;30 Apr 68;30.1
45;31-may-68;8.6
46;30-jun-68;25.5
47;31-jul-68;2.8
48;31 Aug 68;4.5
49;30-sep-68;0
50;31-oct-68;6.4
51;30-nov-68;54.5
52;31 Dec 68;112.8
53;31 Jan 69;54.2
54;28-feb-69;41.3
55;31-mar-69;100.3
56;30 Apr 69;0
57;31-may-69;4.1
58;30-jun-69;5.7
59;31-jul-69;0.4
60;31 Aug 69;1
61;30-sep-69;19.14
62;31-oct-69;146.16
63;30-nov-69;62.8
64;31 Dec 69;79.9
65;31 Jan 70;1.6
66;28-feb-70;26.7
67;31-mar-70;31.5
68;30 Apr 70;3
69;31-may-70;7.7
70;30-jun-70;12.7
71;31-jul-70;3.5
72;31 Aug 70;0
73;30-sep-70;0
74;31-oct-70;13.9
75;30-nov-70;16.71
76;31 Dec 70;37.68
77;31 Jan 71;122.6
78;28-feb-71;19.7
79;31-mar-71;45.6
80;30 Apr 71;44.7
81;31-may-71;9.44
82;30-jun-71;6.46
83;31-jul-71;8.4
84;31 Aug 71;0
85;30-sep-71;3.4
86;31-oct-71;44.73
87;30-nov-71;31.29
88;31 Dec 71;70.4
89;31 Jan 72;83.57
90;29-feb-72;257.45
91;31-mar-72;127.04
92;30 Apr 72;6.92
93;31-may-72;85.9
94;30-jun-72;1.4
95;31-jul-72;2.5
96;31 Aug 72;0.6
97;30-sep-72;2
98;31-oct-72;14.8
99;30-nov-72;18.2
100;31 Dec 72;31.92
101;31 Jan 73;49.48
102;28-feb-73;35.7
103;31-mar-73;19.01
104;30 Apr 73;76.59
105;31-may-73;15.4
106;30-jun-73;0.9
107;31-jul-73;10.6
108;31 Aug 73;23.6
109;30-sep-73;178.34
110;31-oct-73;27.76
111;30-nov-73;27.18
112;31 Dec 73;151.42
113;31 Jan 74;144.6
114;28-feb-74;54.8
115;31-mar-74;15.2
116;30 Apr 74;26.1
117;31-may-74;25.7
118;30-jun-74;0
119;31-jul-74;15.6
120;31 Aug 74;0
121;30-sep-74;29.1
122;31-oct-74;14.87
123;30-nov-74;146.8
124;31 Dec 74;19.92
125;31 Jan 75;209.8
126;28-feb-75;140.28
127;31-mar-75;38.02
128;30 Apr 75;15
129;31-may-75;13.9
130;30-jun-75;52.4
131;31-jul-75;0
132;31 Aug 75;0
133;30-sep-75;0
134;31-oct-75;2
135;30-nov-75;66.25
136;31 Dec 75;198.75
137;31 Jan 76;179.79
138;29-feb-76;50.11
139;31-mar-76;70.4
140;30 Apr 76;16.7
141;31-may-76;13.9
142;30-jun-76;1.2
143;31-jul-76;0
144;31 Aug 76;0
145;30-sep-76;0
146;31-oct-76;11.1
147;30-nov-76;129.2
148;31 Dec 76;36.97
149;31 Jan 77;121.13
150;28-feb-77;109.9
151;31-mar-77;114.7
152;30 Apr 77;2.46
153;31-may-77;0.04
154;30-jun-77;0
155;31-jul-77;0
156;31 Aug 77;2
157;30-sep-77;66.2
158;31-oct-77;3.5
159;30-nov-77;4.1
160;31 Dec 77;41.48
161;31 Jan 78;65.12
162;28-feb-78;132.9
163;31-mar-78;17.2
164;30 Apr 78;15.6
165;31-may-78;0
166;30-jun-78;0
167;31-jul-78;5
168;31 Aug 78;0
169;30-sep-78;25.3
170;31-oct-78;22.7
171;30-nov-78;96.8
172;31 Dec 78;26
173;31 Jan 79;42.2
174;28-feb-79;110.66
175;31-mar-79;175.44
176;30 Apr 79;0
177;31-may-79;0
178;30-jun-79;5.6
179;31-jul-79;5.8
180;31 Aug 79;3
181;30-sep-79;0
182;31-oct-79;68.5
183;30-nov-79;43.2
184;31 Dec 79;56.5
185;31 Jan 80;0
186;29-feb-80;0
187;31-mar-80;0
188;30 Apr 80;26.6
189;31-may-80;6.6
190;30-jun-80;0
191;31-jul-80;0
192;31 Aug 80;24.3
193;30-sep-80;48.2
194;31-oct-80;75.2
195;30-nov-80;79.13
196;31 Dec 80;211.27
197;31 Jan 81;207.23
198;28-feb-81;76.28
199;31-mar-81;20.6
200;30 Apr 81;0
201;31-may-81;36.5
202;30-jun-81;0
203;31-jul-81;0
204;31 Aug 81;0.6
205;30-sep-81;35
206;31-oct-81;0
207;30-nov-81;0
208;31 Dec 81;0
209;31 Jan 82;0
210;28-feb-82;0
211;31-mar-82;0
212;30 Apr 82;0
213;31-may-82;0
214;30-jun-82;0
215;31-jul-82;0
216;31 Aug 82;0
217;30-sep-82;0
218;31-oct-82;0
219;30-nov-82;0
220;31 Dec 82;0
221;31 Jan 83;0
222;28-feb-83;0
223;31-mar-83;0
224;30 Apr 83;0
225;31-may-83;0
226;30-jun-83;0
227;31-jul-83;0
228;31 Aug 83;0
229;30-sep-83;0
230;31-oct-83;0
231;30-nov-83;0
232;31 Dec 83;0
233;31 Jan 84;0
234;29-feb-84;0
235;31-mar-84;0
236;30 Apr 84;0
237;31-may-84;0
238;30-jun-84;0
239;31-jul-84;0
240;31 Aug 84;0
241;30-sep-84;0
242;31-oct-84;0
243;30-nov-84;0
244;31 Dec 84;0
245;31 Jan 85;0
246;28-feb-85;0
247;31-mar-85;0
248;30 Apr 85;0
249;31-may-85;0
250;30-jun-85;0
251;31-jul-85;0
252;31 Aug 85;0
253;30-sep-85;0
254;31-oct-85;0
255;30-nov-85;0
256;31 Dec 85;0
257;31 Jan 86;0
258;28-feb-86;0
259;31-mar-86;0
260;30 Apr 86;0
261;31-may-86;0
262;30-jun-86;0
263;31-jul-86;0
264;31 Aug 86;0
265;30-sep-86;0
266;31-oct-86;0
267;30-nov-86;0
268;31 Dec 86;0
269;31 Jan 87;0
270;28-feb-87;0
271;31-mar-87;0
272;30 Apr 87;0
273;31-may-87;0
274;30-jun-87;0
275;31-jul-87;0
276;31 Aug 87;0
277;30-sep-87;0
278;31-oct-87;0
279;30-nov-87;0
280;31 Dec 87;0
281;31 Jan 88;0
282;29-feb-88;0
283;31-mar-88;0
284;30 Apr 88;0
285;31-may-88;0
286;30-jun-88;0
287;31-jul-88;0
288;31 Aug 88;0
289;30-sep-88;0
290;31-oct-88;0
291;30-nov-88;0
292;31 Dec 88;0
293;31 Jan 89;0
294;28-feb-89;0
295;31-mar-89;0
296;30 Apr 89;0
297;31-may-89;0
298;30-jun-89;0
299;31-jul-89;0
300;31 Aug 89;0
301;30-sep-89;0
302;31-oct-89;0
303;30-nov-89;0
304;31 Dec 89;0
305;31 Jan 90;0
306;28-feb-90;0
307;31-mar-90;0
308;30 Apr 90;0
309;31-may-90;0
310;30-jun-90;0
311;31-jul-90;0
312;31 Aug 90;0
313;30-sep-90;0
314;31-oct-90;0
315;30-nov-90;0
316;31 Dec 90;0
317;31 Jan 91;0
318;28-feb-91;0
319;31-mar-91;0
320;30 Apr 91;0
321;31-may-91;0
322;30-jun-91;0
323;31-jul-91;0
324;31 Aug 91;0
325;30-sep-91;0
326;31-oct-91;0
327;30-nov-91;0
328;31 Dec 91;0
329;31 Jan 92;0
330;29-feb-92;0
331;31-mar-92;0
332;30 Apr 92;0
333;31-may-92;0
334;30-jun-92;0
335;31-jul-92;0
336;31 Aug 92;0
337;30-sep-92;0
338;31-oct-92;0
339;30-nov-92;0
340;31 Dec 92;0
341;31 Jan 93;0
342;28-feb-93;0
343;31-mar-93;0
344;30 Apr 93;0
345;31-may-93;0
346;30-jun-93;0
347;31-jul-93;0
348;31 Aug 93;0
349;30-sep-93;0
350;31-oct-93;0
351;30-nov-93;0
352;31 Dec 93;0
353;31 Jan 94;0
354;28-feb-94;0
355;31-mar-94;0
356;30 Apr 94;0
357;31-may-94;0
358;30-jun-94;0
359;31-jul-94;0
360;31 Aug 94;0
361;30-sep-94;0
362;31-oct-94;0
363;30-nov-94;0
364;31 Dec 94;0
365;31 Jan 95;0
366;28-feb-95;0
367;31-mar-95;0
368;30 Apr 95;0
369;31-may-95;0
370;30-jun-95;0
371;31-jul-95;0
372;31 Aug 95;0
373;30-sep-95;0
374;31-oct-95;0
375;30-nov-95;0
376;31 Dec 95;0
377;31 Jan 96;0
378;29-feb-96;0
379;31-mar-96;0
380;30 Apr 96;0
381;31-may-96;0
382;30-jun-96;0
383;31-jul-96;0
384;31 Aug 96;0
385;30-sep-96;0
386;31-oct-96;0
387;30-nov-96;0
388;31 Dec 96;0
389;31 Jan 97;0
390;28-feb-97;0
391;31-mar-97;0
392;30 Apr 97;0
393;31-may-97;0
394;30-jun-97;0
395;31-jul-97;0
396;31 Aug 97;0
397;30-sep-97;0
398;31-oct-97;0
399;30-nov-97;0
400;31 Dec 97;0
401;31 Jan 98;0
402;28-feb-98;0
403;31-mar-98;0
404;30 Apr 98;0
405;31-may-98;0
406;30-jun-98;0
407;31-jul-98;0
408;31 Aug 98;0
409;30-sep-98;1.9
410;31-oct-98;47.2
411;30-nov-98;116.5
412;31 Dec 98;149.2
413;31 Jan 99;49.51
414;28-feb-99;483.29
415;31-mar-99;54.21
416;30 Apr 99;19.49
417;31-may-99;47.8
418;30-jun-99;0
419;31-jul-99;9.2
420;31 Aug 99;3
421;30-sep-99;23.9
422;31-oct-99;43.7
423;30-nov-99;40.1
424;31 Dec 99;67.7
425;31 Jan 00;87
426;29-feb-00;148.5
427;31-mar-00;260.7
428;30 Apr 00;47
429;31-may-00;13
430;30-jun-00;6.9
431;31-jul-00;8.5
