Type;date;mm_rain
1;31-oct-55; 
2;30-nov-55;1.832.999.936
3;31 Dec 55;703.000.021
4;31 Jan 56;399.999.961
5;29-feb-56;1.480.000.167
6;31-mar-56;1.847.000.156
7;30 Apr 56;249.999.996
8;31-may-56;0
9;30-jun-56;0
10;31-jul-56;0
11;31 Aug 56;0
12;30-sep-56;0
13;31-oct-56;0
14;30-nov-56;789.999.926
15;31 Dec 56;629.999.927
16;31 Jan 57;210.000.013
17;28-feb-57;1.863.437.609
18;31-mar-57;306.562.462
19;30 Apr 57;629.999.934
20;31-may-57;730.000.076
21;30-jun-57;350.000.015
22;31-jul-57;629.999.934
23;31 Aug 57;529.999.929
24;30-sep-57;100.000.005
25;31-oct-57;0
26;30-nov-57;429.999.916
27;31 Dec 57;298.828.129
28;31 Jan 58;2.056.562.675
29;28-feb-58;1.424.609.515
30;31-mar-58;219.999.986
31;30 Apr 58;250.000.002
32;31-may-58;0
33;30-jun-58;150.000.004
34;31-jul-58;0
35;31 Aug 58;120.000.011
36;30-sep-58;39.999.996
37;31-oct-58;740.999.915
38;30-nov-58;299.999.918
39;31 Dec 58;399.999.923
40;31 Jan 59;439.999.911
41;28-feb-59;450.000.118
42;31-mar-59;519.999.926
43;30 Apr 59;0
44;31-may-59;0
45;30-jun-59;0
46;31-jul-59;100.000.005
47;31 Aug 59;0
48;30-sep-59;580.000.087
49;31-oct-59;490.000.039
50;30-nov-59;0
51;31 Dec 59;920.000.091
52;31 Jan 60;31.250.003
53;29-feb-60;2.398.750.125
54;31-mar-60;649.999.993
55;30 Apr 60;112.999.983
56;31-may-60;290.000.006
57;30-jun-60;0
58;31-jul-60;0
59;31 Aug 60;0
60;30-sep-60;369.999.907
61;31-oct-60;439.999.957
62;30-nov-60;529.999.967
63;31 Dec 60;2.253.437.498
64;31 Jan 61;365.625
65;28-feb-61;1.770.000.034
66;31-mar-61;0
67;30 Apr 61;649.999.993
68;31-may-61;0
69;30-jun-61;0
70;31-jul-61;0
71;31 Aug 61;0
72;30-sep-61;0
73;31-oct-61;0
74;30-nov-61;0
75;31 Dec 61;1.590.000.075
76;31 Jan 62;70.000.012
77;28-feb-62;980.000.078
78;31-mar-62;139.999.994
79;30 Apr 62;290.000.019
80;31-may-62;0
81;30-jun-62;0
82;31-jul-62;0
83;31 Aug 62;0
84;30-sep-62;0
85;31-oct-62;200.000.011
86;30-nov-62;86.000.009
87;31 Dec 62;699.999.924
88;31 Jan 63;0
89;28-feb-63;0
90;31-mar-63;52.999.999
91;30 Apr 63;1.370.000.043
92;31-may-63;0
93;30-jun-63;83.984.359
94;31-jul-63;346.015.557
95;31 Aug 63;0
96;30-sep-63;0
97;31-oct-63;0
98;30-nov-63;0
99;31 Dec 63;1.109.999.834
100;31 Jan 64;0
101;29-feb-64;0
102;31-mar-64;0
103;30 Apr 64;0
104;31-may-64;0
105;30-jun-64;0
106;31-jul-64;0
107;31 Aug 64;0
108;30-sep-64;0
109;31-oct-64;770.000.011
110;30-nov-64;459.999.985
111;31 Dec 64;1.205.000.099
112;31 Jan 65;1.200.000.154
113;28-feb-65;519.999.994
114;31-mar-65;0
115;30 Apr 65;0
116;31-may-65;214.999.996
117;30-jun-65;0
118;31-jul-65;0
119;31 Aug 65;177.578.139
120;30-sep-65;772.421.991
121;31-oct-65;350.000.007
122;30-nov-65;704.999.982
123;31 Dec 65;729.999.947
124;31 Jan 66;3.149.999.785
125;28-feb-66;1.600.000.077
126;31-mar-66;200.000.011
127;30 Apr 66;120.000.011
128;31-may-66;38.999.999
129;30-jun-66;0
130;31-jul-66;0
131;31 Aug 66;299.999.918
132;30-sep-66;25.5
133;31-oct-66;244.999.989
134;30-nov-66;77.890.608
135;31 Dec 66;1.005.585.943
136;31 Jan 67;1.426.523.635
137;28-feb-67;3.553.999.971
138;31-mar-67;87.699.993
139;30 Apr 67;1.280.000.003
140;31-may-67;759.999.834
141;30-jun-67;27.499.996
142;31-jul-67;169.999.995
143;31 Aug 67;69.999.989
144;30-sep-67;1.059.999.903
145;31-oct-67;19
146;30-nov-67;355.000.028
147;31 Dec 67;339.999.951
148;31 Jan 68;875.000.073
149;29-feb-68;938.999.885
150;31-mar-68;0
151;30 Apr 68;0
152;31-may-68;0
153;30-jun-68;352.000.044
154;31-jul-68;49.999.991
155;31 Aug 68;0
156;30-sep-68;0
157;31-oct-68;0
158;30-nov-68;116.210.938
159;31 Dec 68;384.507.766
160;31 Jan 69;872.281.322
161;28-feb-69;367.999.976
162;31-mar-69;280.000.003
163;30 Apr 69;793.999.985
164;31-may-69;214.999.996
165;30-jun-69;348.999.985
166;31-jul-69;0
167;31 Aug 69;0
168;30-sep-69;520.624.921
169;31-oct-69;922.375.073
170;30-nov-69;1.178.359.494
171;31 Dec 69;1.041.640.545
172;31 Jan 70;69.999.989
173;28-feb-70;0
174;31-mar-70;0
175;30 Apr 70;286.999.984
176;31-may-70;0
177;30-jun-70;0
178;31-jul-70;2
179;31 Aug 70;0
180;30-sep-70;0
181;31-oct-70;192.999.999
182;30-nov-70;0
183;31 Dec 70;0
184;31 Jan 71;0
185;28-feb-71;0
186;31-mar-71;0
187;30 Apr 71;0
188;31-may-71;0
189;30-jun-71;0
190;31-jul-71;0
191;31 Aug 71;0
192;30-sep-71;0
193;31-oct-71;0
194;30-nov-71;0
195;31 Dec 71;0
196;31 Jan 72;0
197;29-feb-72;0
198;31-mar-72;0
199;30 Apr 72;0
200;31-may-72;0
201;30-jun-72;0
202;31-jul-72;0
203;31 Aug 72;0
204;30-sep-72;0
205;31-oct-72;0
206;30-nov-72;0
207;31 Dec 72;0
208;31 Jan 73;0
209;28-feb-73;0
210;31-mar-73;0
211;30 Apr 73;0
212;31-may-73;0
213;30-jun-73;0
214;31-jul-73;0
215;31 Aug 73;0
216;30-sep-73;0
217;31-oct-73;0
218;30-nov-73;0
219;31 Dec 73;0
220;31 Jan 74;0
221;28-feb-74;0
222;31-mar-74;0
223;30 Apr 74;0
224;31-may-74;0
225;30-jun-74;0
226;31-jul-74;0
227;31 Aug 74;0
228;30-sep-74;0
229;31-oct-74;0
230;30-nov-74;0
231;31 Dec 74;0
232;31 Jan 75;639.999.975
233;28-feb-75;859.999.931
234;31-mar-75;510.000.014
235;30 Apr 75;269.999.962
236;31-may-75;0
237;30-jun-75;0
238;31-jul-75;0
239;31 Aug 75;0
240;30-sep-75;0
241;31-oct-75;0
242;30-nov-75;0
243;31 Dec 75;0
244;31 Jan 76;0
245;29-feb-76;0
246;31-mar-76;0
247;30 Apr 76;0
248;31-may-76;0
249;30-jun-76;0
250;31-jul-76;0
251;31 Aug 76;0
252;30-sep-76;0
253;31-oct-76;0
254;30-nov-76;0
255;31 Dec 76;0
256;31 Jan 77;0
257;28-feb-77;0
258;31-mar-77;0
259;30 Apr 77;0
260;31-may-77;0
261;30-jun-77;0
262;31-jul-77;0
263;31 Aug 77;0
264;30-sep-77;0
265;31-oct-77;0
266;30-nov-77;518.968.877
267;31 Dec 77;2.191.499.726
268;31 Jan 78;230.353.111
269;28-feb-78;3.444.999.932
270;31-mar-78;1.893.000.097
271;30 Apr 78;172.000.009
272;31-may-78;283.000.001
273;30-jun-78;324.000.012
274;31-jul-78;160.000.015
275;31 Aug 78;100.000.005
276;30-sep-78;40.099.996
277;31-oct-78;0
278;30-nov-78;565.000.018
279;31 Dec 78;549.593.633
280;31 Jan 79;846.406.392
281;28-feb-79;378.320.222
282;31-mar-79;1.284.679.666
283;30 Apr 79;210.000.006
284;31-may-79;325.000.118
285;30-jun-79;114.999.994
286;31-jul-79;0
287;31 Aug 79;0
288;30-sep-79;0
289;31-oct-79;0
290;30-nov-79;0
291;31 Dec 79;0
292;31 Jan 80;0
293;29-feb-80;0
294;31-mar-80;0
295;30 Apr 80;0
296;31-may-80;0
297;30-jun-80;0
298;31-jul-80;75.000.002
299;31 Aug 80;146.000.006
300;30-sep-80;608.999.952
301;31-oct-80;0
302;30-nov-80;674.000.057
303;31 Dec 80;269.999.962
304;31 Jan 81;981.999.804
305;28-feb-81;1.695.999.865
306;31-mar-81;361.000.025
307;30 Apr 81;29.486.721
308;31-may-81;1.159.132.997
309;30-jun-81;69.999.989
310;31-jul-81;100.000.005
311;31 Aug 81;110.000.008
312;30-sep-81;2.001.000.075
313;31-oct-81;479.999.862
314;30-nov-81;631.000.093
