Type;date;mm_rain
1;30-sep-54; 
2;31-oct-54;30.55
3;30-nov-54;0
4;31 Dec 54;0
5;31 Jan 55;0
6;28-feb-55;0
7;31-mar-55;0
8;30 Apr 55;0
9;31-may-55;0
10;30-jun-55;0
11;31-jul-55;0
12;31 Aug 55;0
13;30-sep-55;0
14;31-oct-55;0
15;30-nov-55;0
16;31 Dec 55;0
17;31 Jan 56;0
18;29-feb-56;0
19;31-mar-56;0
20;30 Apr 56;0
21;31-may-56;0
22;30-jun-56;0
23;31-jul-56;0
24;31 Aug 56;0
25;30-sep-56;0
26;31-oct-56;0
27;30-nov-56;0
28;31 Dec 56;0
29;31 Jan 57;0
30;28-feb-57;0
31;31-mar-57;0
32;30 Apr 57;0
33;31-may-57;0
34;30-jun-57;0
35;31-jul-57;0
36;31 Aug 57;0
37;30-sep-57;0
38;31-oct-57;0
39;30-nov-57;0
40;31 Dec 57;0
41;31 Jan 58;0
42;28-feb-58;0
43;31-mar-58;0
44;30 Apr 58;0
45;31-may-58;0
46;30-jun-58;0
47;31-jul-58;0
48;31 Aug 58;0
49;30-sep-58;0
50;31-oct-58;0
51;30-nov-58;4.26
52;31 Dec 58;65.24
53;31 Jan 59;0
54;28-feb-59;0
55;31-mar-59;0
56;30 Apr 59;0
57;31-may-59;0
58;30-jun-59;0
59;31-jul-59;0
60;31 Aug 59;0
61;30-sep-59;0
62;31-oct-59;0
63;30-nov-59;0
64;31 Dec 59;28
65;31 Jan 60;0
66;29-feb-60;204.5
67;31-mar-60;43
68;30 Apr 60;126.5
69;31-may-60;22
70;30-jun-60;0
71;31-jul-60;0
72;31 Aug 60;0
73;30-sep-60;56
74;31-oct-60;11.5
75;30-nov-60;57
76;31 Dec 60;171.5
77;31 Jan 61;0
78;28-feb-61;144.5
79;31-mar-61;28.5
80;30 Apr 61;2
81;31-may-61;11.3
82;30-jun-61;69.21
83;31-jul-61;26.49
84;31 Aug 61;3
85;30-sep-61;33
86;31-oct-61;50
87;30-nov-61;0
88;31 Dec 61;37
89;31 Jan 62;83
90;28-feb-62;0
91;31-mar-62;0
92;30 Apr 62;0
93;31-may-62;0
94;30-jun-62;0
95;31-jul-62;0
96;31 Aug 62;0
97;30-sep-62;0
98;31-oct-62;0
99;30-nov-62;0
100;31 Dec 62;0
101;31 Jan 63;0
102;28-feb-63;0
103;31-mar-63;0
104;30 Apr 63;0
105;31-may-63;0
106;30-jun-63;0
107;31-jul-63;0
108;31 Aug 63;0
109;30-sep-63;0
110;31-oct-63;0
111;30-nov-63;0
112;31 Dec 63;0
113;31 Jan 64;0
114;29-feb-64;0
115;31-mar-64;0
116;30 Apr 64;0
117;31-may-64;0
118;30-jun-64;0
119;31-jul-64;0
120;31 Aug 64;0
121;30-sep-64;0
122;31-oct-64;0
123;30-nov-64;0
124;31 Dec 64;0
125;31 Jan 65;0
126;28-feb-65;27.5
127;31-mar-65;36.27
128;30 Apr 65;22.63
129;31-may-65;2.95
130;30-jun-65;6.25
131;31-jul-65;0.1
132;31 Aug 65;7.76
133;30-sep-65;29.34
134;31-oct-65;42
135;30-nov-65;85.3
136;31 Dec 65;117.1
137;31 Jan 66;313.3
138;28-feb-66;61.94
139;31-mar-66;30.25
140;30 Apr 66;10.77
141;31-may-66;18.44
142;30-jun-66;17.5
143;31-jul-66;0
144;31 Aug 66;34.1
145;30-sep-66;17.31
146;31-oct-66;71.59
147;30-nov-66;16.47
148;31 Dec 66;214.43
149;31 Jan 67;158.61
150;28-feb-67;409.5
151;31-mar-67;150.8
152;30 Apr 67;49.75
153;31-may-67;4.05
154;30-jun-67;18
155;31-jul-67;3.6
156;31 Aug 67;1.7
157;30-sep-67;0
158;31-oct-67;59.5
159;30-nov-67;36.44
160;31 Dec 67;34.76
161;31 Jan 68;74.3
162;29-feb-68;96
163;31-mar-68;37.7
164;30 Apr 68;16.2
165;31-may-68;10.8
166;30-jun-68;28.1
167;31-jul-68;16.15
168;31 Aug 68;5.65
169;30-sep-68;7.49
170;31-oct-68;7.81
171;30-nov-68;46.6
172;31 Dec 68;51.39
173;31 Jan 69;50.09
174;28-feb-69;55.11
175;31-mar-69;47.6
176;30 Apr 69;33.5
177;31-may-69;20
178;30-jun-69;3.8
179;31-jul-69;28.3
180;31 Aug 69;4.3
181;30-sep-69;14.5
182;31-oct-69;0
183;30-nov-69;29.2
184;31 Dec 69;62.6
185;31 Jan 70;0
186;28-feb-70;11.19
187;31-mar-70;119.81
188;30 Apr 70;0.6
189;31-may-70;9.9
190;30-jun-70;52.2
191;31-jul-70;1.9
192;31 Aug 70;0
193;30-sep-70;7.25
194;31-oct-70;23.35
195;30-nov-70;26.4
196;31 Dec 70;0
197;31 Jan 71;0
198;28-feb-71;0
199;31-mar-71;0
200;30 Apr 71;36
201;31-may-71;33.3
202;30-jun-71;0
203;31-jul-71;0
204;31 Aug 71;0
205;30-sep-71;4
206;31-oct-71;78.18
207;30-nov-71;73.3
208;31 Dec 71;106.78
209;31 Jan 72;97.66
210;29-feb-72;192.59
211;31-mar-72;92.98
212;30 Apr 72;18.5
213;31-may-72;133.5
214;30-jun-72;0
215;31-jul-72;5
216;31 Aug 72;0
217;30-sep-72;0
218;31-oct-72;45
219;30-nov-72;29.4
220;31 Dec 72;28.6
221;31 Jan 73;71.8
222;28-feb-73;54
223;31-mar-73;6.59
224;30 Apr 73;59.61
225;31-may-73;6.5
226;30-jun-73;6
227;31-jul-73;3
228;31 Aug 73;0
229;30-sep-73;167
230;31-oct-73;35
231;30-nov-73;61.4
232;31 Dec 73;147
233;31 Jan 74;73.64
234;28-feb-74;90.66
235;31-mar-74;37
236;30 Apr 74;18
237;31-may-74;8.6
238;30-jun-74;0
239;31-jul-74;20.5
240;31 Aug 74;3.2
241;30-sep-74;18.8
242;31-oct-74;15.3
243;30-nov-74;79.5
244;31 Dec 74;26.5
245;31 Jan 75;161.8
246;28-feb-75;88.2
247;31-mar-75;73.5
248;30 Apr 75;33.64
249;31-may-75;35.36
250;30-jun-75;10.5
251;31-jul-75;0
252;31 Aug 75;0
253;30-sep-75;2.79
254;31-oct-75;0.21
255;30-nov-75;13.02
256;31 Dec 75;159.38
257;31 Jan 76;261.36
258;29-feb-76;35.84
259;31-mar-76;20
260;30 Apr 76;26
261;31-may-76;17.2
262;30-jun-76;0
263;31-jul-76;0
264;31 Aug 76;0
265;30-sep-76;0
266;31-oct-76;8
267;30-nov-76;38.8
268;31 Dec 76;158.4
269;31 Jan 77;101.5
270;28-feb-77;421.6
271;31-mar-77;139.2
272;30 Apr 77;0
273;31-may-77;0
274;30-jun-77;0
275;31-jul-77;0
276;31 Aug 77;33.5
277;30-sep-77;70.2
278;31-oct-77;0
279;30-nov-77;0
280;31 Dec 77;0
281;31 Jan 78;0
